通報ID,三支業者通報時間,特店名稱,特店統一編號,特店地址,特店電話,特店註冊日期,特店網址,三支業者通報案由,三支業者示警,執法機構處理狀態,三支業者聯絡人,三支通報業者,特店成立至通報天數,跨業者通報數,是否跨業者重複通報,是否節慶高風險期間,節慶／消費檔期名稱,距節慶中心日天數,關聯群組,共用地址群組,共用電話群組,共用網址群組,建議綜合風險分數,資料性質
R00098,2025-02-06 11:38:00,萬禾行銷有限公司,25005960,台南市中西區民生路二段162號2樓,03-7443-6042,2024-10-03,https://www.shop1040-tw.com,大量退款與取消交易,中,已通報執法機構,張家維,第三方支付B,126,3,是,是,春節,8,,,,,66,模擬資料
R00100,2025-02-06 11:44:00,創盈電子商務有限公司,25002682,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-09-16,https://www.easybonus-market-3.com,疑似洗錢,高,要求補充資料,吳佩珊,第三方支付C,143,3,是,是,春節,8,G04,ADDR-G04,TEL-G04,WEB-G04,74,模擬資料
R00097,2025-02-06 13:05:00,迅達科技有限公司,25007450,台南市中西區民生路二段255號3樓,04-7157-1328,2024-10-07,https://www.shop1050-tw.com,疑似假投資平台收款,中,已通報執法機構,黃郁涵,第三方支付B,122,3,是,是,春節,8,,,,,51,模擬資料
R00099,2025-02-06 14:15:00,百匯電子商務有限公司,25001043,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-03-04,https://www.goldtrade-shop-4.com,疑似串接博弈網站,高,調查中,周柏廷,第三方支付C,339,3,是,是,春節,8,G03,ADDR-G03,TEL-G03,WEB-G03,82,模擬資料
R00104,2025-02-07 12:23:00,萬禾行銷有限公司,25002980,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-06-18,https://www.fastmall-pay-1.com,疑似洗錢,高,尚未移送,李佳穎,第三方支付B,234,3,是,是,春節,9,G01,ADDR-G01,TEL-G01,WEB-G01,60,模擬資料
R00103,2025-02-07 14:06:00,萬禾國際有限公司,25006407,台南市中西區民生路二段190號4樓,05-5510-6770,2024-11-15,https://www.shop1043-tw.com,疑似假交易真套現,中,尚未移送,吳佩珊,第三方支付C,84,3,是,是,春節,9,,,,,65,模擬資料
R00102,2025-02-07 21:29:00,捷利數位有限公司,25008940,台北市大安區復興南路一段273號5樓,07-9651-9067,2024-07-14,https://www.shop1060-tw.com,異常大量交易,中,調查中,陳冠宇,第三方支付A,208,3,是,是,春節,9,,,,,49,模擬資料
R00101,2025-02-07 22:15:00,鑫盛行銷有限公司,25017731,台北市信義區松仁路258號5樓,04-9677-2488,2025-01-26,https://www.shop1119-tw.com,疑似人頭特店,中,調查中,李佳穎,第三方支付B,12,2,是,是,春節,9,,,,,80,模擬資料
R00105,2025-02-08 11:46:00,迅達數位有限公司,25009536,高雄市三民區建國二路193號2樓,05-2902-1366,2024-10-22,https://www.shop1064-tw.com,短期交易量異常成長,中,已通報執法機構,黃郁涵,第三方支付B,109,3,是,是,春節,10,,,,,61,模擬資料
R00107,2025-02-08 15:06:00,宏富數位有限公司,25010579,台南市中西區民生路二段200號3樓,04-9141-1105,2024-10-12,https://www.shop1071-tw.com,疑似人頭特店,中,尚未移送,周柏廷,第三方支付C,119,3,是,是,春節,10,,,,,56,模擬資料
R00106,2025-02-08 15:23:00,聯盛行銷有限公司,25017284,台中市北屯區崇德路二段207號2樓,02-7150-8007,2024-10-19,https://www.shop1116-tw.com,異常大量交易,中,已移送偵辦,黃郁涵,第三方支付B,112,3,是,是,春節,10,,,,,80,模擬資料
R00108,2025-02-09 22:21:00,領航科技有限公司,25014900,台南市中西區民生路二段282號2樓,07-7106-7293,2025-01-16,https://www.shop1100-tw.com,特店網站內容與申請業態不符,中,要求補充資料,周柏廷,第三方支付C,24,3,是,否,,,,,,,65,模擬資料
R00110,2025-02-10 18:12:00,樂購科技有限公司,25003576,桃園市桃園區中正路520號10樓,03-335-8811,2024-04-29,https://www.superdeal-tw-1.com,多筆交易來源高度集中,中,要求補充資料,林志豪,第三方支付A,287,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,71,模擬資料
R00109,2025-02-10 22:51:00,聯盛數位有限公司,25003129,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-10-25,https://www.bestdeal-tw-2.com,異常大量交易,中,已通報執法機構,王怡婷,第三方支付A,108,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,57,模擬資料
R00111,2025-02-11 14:19:00,鼎盛國際有限公司,25007301,台中市北屯區崇德路二段138號8樓,03-7039-9511,2024-11-09,https://www.shop1049-tw.com,疑似假交易真套現,低,已通報執法機構,蔡承翰,第三方支付C,94,2,是,否,,,,,,,39,模擬資料
R00112,2025-02-12 15:32:00,昇泰科技有限公司,25005513,台中市北屯區崇德路二段95號10樓,02-3433-7687,2024-08-30,https://www.shop1037-tw.com,大量退款與取消交易,中,已通報執法機構,王怡婷,第三方支付A,166,3,是,否,,,,,,,62,模擬資料
R00113,2025-02-14 08:08:00,易享國際有限公司,25011622,台北市信義區松仁路23號13樓,03-3131-1026,2024-11-06,https://www.shop1078-tw.com,疑似假投資平台收款,中,已通報執法機構,王怡婷,第三方支付A,100,2,是,否,,,,,,,65,模擬資料
R00114,2025-02-14 14:34:00,嘉禾科技有限公司,25006556,台南市中西區民生路二段132號15樓,06-5800-7245,2024-05-10,https://www.shop1044-tw.com,疑似假交易真套現,低,尚未移送,周柏廷,第三方支付C,280,3,是,否,,,,,,,44,模擬資料
R00115,2025-02-15 08:43:00,易享電子商務有限公司,25000298,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-02-20,https://www.goldtrade-shop-3.com,疑似假投資平台收款,中,尚未移送,王怡婷,第三方支付A,361,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,43,模擬資料
R00116,2025-02-16 11:39:00,萬禾數位有限公司,25012367,新北市新莊區中正路130號10樓,05-2744-3109,2024-11-30,https://www.shop1083-tw.com,異常大量交易,高,要求補充資料,張家維,第三方支付B,78,3,是,否,,,,,,,50,模擬資料
R00118,2025-02-17 09:21:00,創盈商行,25016539,桃園市桃園區中正路22號2樓,05-6239-5638,2024-10-30,https://www.shop1111-tw.com,大量退款與取消交易,低,已通報執法機構,吳佩珊,第三方支付C,110,3,是,否,,,,,,,47,模擬資料
R00117,2025-02-17 11:40:00,樂購國際有限公司,25004321,桃園市桃園區中正路520號10樓,03-335-8811,2024-05-30,https://www.superdeal-tw-2.com,異常大量交易,高,已通報執法機構,林志豪,第三方支付A,263,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,63,模擬資料
R00119,2025-02-17 21:16:00,捷利商行,25002384,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-10-13,https://www.bestdeal-tw-1.com,短期交易量異常成長,低,調查中,林志豪,第三方支付A,127,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,59,模擬資料
R00120,2025-02-18 14:14:00,聯盛國際有限公司,25015794,台南市中西區民生路二段83號13樓,05-9511-5748,2025-01-27,https://www.shop1106-tw.com,特店網站內容與申請業態不符,中,已通報執法機構,張家維,第三方支付B,22,2,是,否,,,,,,,57,模擬資料
R00121,2025-02-18 16:40:00,宏富電子商務有限公司,25002831,桃園市桃園區中正路520號10樓,03-335-8811,2024-06-10,https://www.superdeal-tw-4.com,短期交易量異常成長,中,調查中,王怡婷,第三方支付A,253,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,54,模擬資料
R00122,2025-02-19 10:54:00,新富商行,25000149,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-11-17,https://www.bestdeal-tw-2.com,短期交易量異常成長,中,尚未移送,陳冠宇,第三方支付A,94,2,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,58,模擬資料
R00123,2025-02-20 12:48:00,百匯數位有限公司,25002533,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-02-19,https://www.goldtrade-shop-2.com,疑似人頭特店,高,尚未移送,王怡婷,第三方支付A,367,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,56,模擬資料
R00124,2025-02-20 20:41:00,新曜數位有限公司,25005811,新竹市東區光復路二段132號9樓,05-6088-1591,2024-06-27,https://www.shop1039-tw.com,疑似洗錢,低,已通報執法機構,陳冠宇,第三方支付A,238,3,是,否,,,,,,,39,模擬資料
R00125,2025-02-21 14:53:00,百匯行銷有限公司,25004768,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-06-18,https://www.goldtrade-shop-1.com,大量退款與取消交易,低,尚未移送,張家維,第三方支付B,248,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,44,模擬資料
R00126,2025-02-22 22:12:00,萬禾國際有限公司,25006407,台南市中西區民生路二段190號4樓,05-5510-6770,2024-11-15,https://www.shop1043-tw.com,大量退款與取消交易,高,尚未移送,黃郁涵,第三方支付B,99,3,是,否,,,,,,,60,模擬資料
R00127,2025-02-23 22:38:00,優選國際有限公司,25004470,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-27,https://www.fastmall-pay-3.com,疑似假交易真套現,高,要求補充資料,林志豪,第三方支付A,119,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,75,模擬資料
R00128,2025-02-25 14:46:00,昇泰科技有限公司,25005513,台中市北屯區崇德路二段95號10樓,02-3433-7687,2024-08-30,https://www.shop1037-tw.com,疑似假投資平台收款,高,確認涉詐,吳佩珊,第三方支付C,179,3,是,否,,,,,,,72,模擬資料
R00129,2025-02-25 20:50:00,昇泰電子商務有限公司,25003874,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-06-30,https://www.bestdeal-tw-3.com,疑似假交易真套現,中,調查中,蔡承翰,第三方支付C,240,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,50,模擬資料
R00130,2025-02-26 13:27:00,萬禾商行,25004023,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-08-02,https://www.goldtrade-shop-4.com,短期交易量異常成長,低,尚未移送,陳冠宇,第三方支付A,208,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,44,模擬資料
R00131,2025-02-27 09:33:00,聯盛國際有限公司,25008046,高雄市三民區建國二路283號10樓,06-4910-2479,2024-11-28,https://www.shop1054-tw.com,疑似人頭特店,中,尚未移送,周柏廷,第三方支付C,91,3,是,否,,,,,,,48,模擬資料
R00132,2025-02-28 18:48:00,富邦達科技有限公司,25006258,新竹市東區光復路二段72號5樓,07-5173-6539,2024-02-29,https://www.shop1042-tw.com,疑似假投資平台收款,低,尚未移送,周柏廷,第三方支付C,365,2,是,否,,,,,,,34,模擬資料
R00133,2025-03-03 10:56:00,金典數位有限公司,25016390,新竹市東區光復路二段86號15樓,06-2895-6949,2025-02-13,https://www.shop1110-tw.com,疑似串接博弈網站,中,調查中,張家維,第三方支付B,18,3,是,否,,,,,,,73,模擬資料
R00134,2025-03-03 18:24:00,鼎盛數位有限公司,25005215,台北市大安區復興南路一段176號13樓,02-2880-9184,2024-05-29,https://www.shop1035-tw.com,疑似串接博弈網站,高,要求補充資料,周柏廷,第三方支付C,278,3,是,否,,,,,,,48,模擬資料
R00135,2025-03-03 19:08:00,聯盛電子商務有限公司,25000596,桃園市桃園區中正路520號10樓,03-335-8811,2024-08-07,https://www.superdeal-tw-1.com,多筆交易來源高度集中,低,調查中,李佳穎,第三方支付B,208,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,54,模擬資料
R00137,2025-03-04 11:32:00,聯盛數位有限公司,25003129,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-10-25,https://www.bestdeal-tw-2.com,疑似串接博弈網站,中,調查中,林志豪,第三方支付A,130,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,58,模擬資料
R00136,2025-03-04 16:03:00,金典國際有限公司,25010877,台中市北屯區崇德路二段269號10樓,06-5072-5146,2024-02-25,https://www.shop1073-tw.com,疑似人頭特店,中,已通報執法機構,吳佩珊,第三方支付C,373,3,是,否,,,,,,,39,模擬資料
R00139,2025-03-05 12:26:00,昇泰商行,25014602,台北市大安區復興南路一段257號2樓,02-6258-6137,2024-11-23,https://www.shop1098-tw.com,短期交易量異常成長,中,已通報執法機構,陳冠宇,第三方支付A,102,3,是,否,,,,,,,53,模擬資料
R00138,2025-03-05 14:59:00,萬禾國際有限公司,25006407,台南市中西區民生路二段190號4樓,05-5510-6770,2024-11-15,https://www.shop1043-tw.com,多筆交易來源高度集中,中,要求補充資料,王怡婷,第三方支付A,110,3,是,否,,,,,,,58,模擬資料
R00140,2025-03-05 15:12:00,創盈商行,25004619,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-04-15,https://www.bestdeal-tw-4.com,疑似洗錢,中,要求補充資料,李佳穎,第三方支付B,324,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,54,模擬資料
R00141,2025-03-06 15:01:00,樂購商行,25012069,桃園市桃園區中正路44號7樓,02-8482-6543,2024-12-09,https://www.shop1081-tw.com,疑似人頭特店,中,要求補充資料,陳冠宇,第三方支付A,87,3,是,否,,,,,,,59,模擬資料
R00142,2025-03-07 09:27:00,飛躍電子商務有限公司,25007897,台南市中西區民生路二段28號4樓,07-6554-6616,2024-09-15,https://www.shop1053-tw.com,疑似人頭特店,中,調查中,林志豪,第三方支付A,173,3,是,否,,,,,,,65,模擬資料
R00143,2025-03-08 18:45:00,迅達科技有限公司,25007450,台南市中西區民生路二段255號3樓,04-7157-1328,2024-10-07,https://www.shop1050-tw.com,疑似人頭特店,中,調查中,蔡承翰,第三方支付C,152,3,是,否,,,,,,,51,模擬資料
R00144,2025-03-10 14:54:00,領航電子商務有限公司,25016688,高雄市三民區建國二路133號11樓,05-2974-4959,2024-11-30,https://www.shop1112-tw.com,特店網站內容與申請業態不符,中,要求補充資料,林志豪,第三方支付A,100,3,是,否,,,,,,,48,模擬資料
R00145,2025-03-10 18:42:00,萬禾國際有限公司,25006407,台南市中西區民生路二段190號4樓,05-5510-6770,2024-11-15,https://www.shop1043-tw.com,疑似串接博弈網站,高,尚未移送,王怡婷,第三方支付A,115,3,是,否,,,,,,,66,模擬資料
R00147,2025-03-11 16:55:00,迅達數位有限公司,25009536,高雄市三民區建國二路193號2樓,05-2902-1366,2024-10-22,https://www.shop1064-tw.com,短期交易量異常成長,中,已通報執法機構,周柏廷,第三方支付C,140,3,是,否,,,,,,,64,模擬資料
R00146,2025-03-11 18:21:00,迅達科技有限公司,25007450,台南市中西區民生路二段255號3樓,04-7157-1328,2024-10-07,https://www.shop1050-tw.com,疑似假投資平台收款,中,要求補充資料,王怡婷,第三方支付A,155,3,是,否,,,,,,,70,模擬資料
R00148,2025-03-13 18:03:00,聯盛電子商務有限公司,25000596,桃園市桃園區中正路520號10樓,03-335-8811,2024-08-07,https://www.superdeal-tw-1.com,疑似洗錢,中,要求補充資料,林志豪,第三方支付A,218,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,59,模擬資料
R00149,2025-03-14 11:44:00,創盈國際有限公司,25014453,桃園市桃園區中正路218號3樓,07-4177-8362,2024-12-21,https://www.shop1097-tw.com,疑似人頭特店,中,尚未移送,吳佩珊,第三方支付C,83,3,是,否,,,,,,,57,模擬資料
R00150,2025-03-17 19:40:00,創盈商行,25004619,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-04-15,https://www.bestdeal-tw-4.com,疑似假交易真套現,中,尚未移送,陳冠宇,第三方支付A,336,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,61,模擬資料
R00151,2025-03-18 17:49:00,聚鑫數位有限公司,25001937,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-09-01,https://www.easybonus-market-2.com,疑似洗錢,中,已通報執法機構,吳佩珊,第三方支付C,198,3,是,否,,,G04,ADDR-G04,TEL-G04,WEB-G04,61,模擬資料
R00152,2025-03-19 18:26:00,鑫盛數位有限公司,25007599,高雄市三民區建國二路77號15樓,07-7867-9055,2024-11-09,https://www.shop1051-tw.com,異常大量交易,中,調查中,張家維,第三方支付B,130,3,是,否,,,,,,,56,模擬資料
R00154,2025-03-20 08:17:00,金典數位有限公司,25016390,新竹市東區光復路二段86號15樓,06-2895-6949,2025-02-13,https://www.shop1110-tw.com,疑似洗錢,高,調查中,蔡承翰,第三方支付C,35,3,是,否,,,,,,,81,模擬資料
R00153,2025-03-20 11:47:00,創盈國際有限公司,25014453,桃園市桃園區中正路218號3樓,07-4177-8362,2024-11-20,https://www.shop1097-tw.com,特店網站內容與申請業態不符,中,調查中,林志豪,第三方支付A,120,3,是,否,,,,,,,58,模擬資料
R00155,2025-03-20 22:58:00,迅達數位有限公司,25008791,台南市中西區民生路二段75號15樓,02-3220-4310,2024-09-19,https://www.shop1059-tw.com,疑似人頭特店,低,已通報執法機構,周柏廷,第三方支付C,182,2,是,否,,,,,,,35,模擬資料
R00156,2025-03-21 13:23:00,易享行銷有限公司,25009238,台北市大安區復興南路一段125號6樓,06-4230-2649,2024-06-04,https://www.shop1062-tw.com,疑似假交易真套現,低,尚未移送,吳佩珊,第三方支付C,290,3,是,否,,,,,,,41,模擬資料
R00157,2025-03-21 17:12:00,迅達電子商務有限公司,25009834,台北市大安區復興南路一段212號2樓,06-8205-7563,2024-03-10,https://www.shop1066-tw.com,異常大量交易,中,尚未移送,張家維,第三方支付B,376,3,是,否,,,,,,,40,模擬資料
R00158,2025-03-21 17:21:00,金典行銷有限公司,25015645,高雄市三民區建國二路284號8樓,07-2182-4340,2025-03-04,https://www.shop1105-tw.com,疑似串接博弈網站,中,已通報執法機構,林志豪,第三方支付A,17,1,否,否,,,,,,,59,模擬資料
R00159,2025-03-22 17:42:00,新富電子商務有限公司,25011473,台中市北屯區崇德路二段91號9樓,06-6453-1016,2025-02-11,https://www.shop1077-tw.com,特店網站內容與申請業態不符,中,已通報執法機構,王怡婷,第三方支付A,39,3,是,否,,,,,,,65,模擬資料
R00160,2025-03-25 22:50:00,聚鑫電子商務有限公司,25000894,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-04-22,https://www.bestdeal-tw-3.com,疑似串接博弈網站,中,已通報執法機構,林志豪,第三方支付A,337,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,58,模擬資料
R00161,2025-03-27 10:35:00,昇泰科技有限公司,25010132,新竹市東區光復路二段246號11樓,05-9767-5823,2024-07-29,https://www.shop1068-tw.com,疑似人頭特店,中,尚未移送,蔡承翰,第三方支付C,241,3,是,否,,,,,,,28,模擬資料
R00162,2025-03-28 16:10:00,捷利科技有限公司,25013559,高雄市三民區建國二路140號9樓,03-7800-5963,2025-01-18,https://www.shop1091-tw.com,特店網站內容與申請業態不符,低,尚未移送,周柏廷,第三方支付C,69,2,是,否,,,,,,,47,模擬資料
R00163,2025-03-29 11:41:00,易享國際有限公司,25013410,桃園市桃園區中正路125號5樓,03-2061-5113,2025-01-08,https://www.shop1090-tw.com,多筆交易來源高度集中,高,已移送偵辦,黃郁涵,第三方支付B,80,3,是,否,,,,,,,74,模擬資料
R00166,2025-04-01 11:32:00,創盈數位有限公司,25001490,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-04-21,https://www.fastmall-pay-3.com,疑似洗錢,中,調查中,陳冠宇,第三方支付A,345,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,71,模擬資料
R00164,2025-04-01 12:52:00,聯盛國際有限公司,25008046,高雄市三民區建國二路283號10樓,06-4910-2479,2024-11-28,https://www.shop1054-tw.com,疑似串接博弈網站,中,尚未移送,李佳穎,第三方支付B,124,3,是,否,,,,,,,64,模擬資料
R00165,2025-04-01 18:32:00,創盈國際有限公司,25014453,桃園市桃園區中正路218號3樓,07-4177-8362,2025-01-30,https://www.shop1097-tw.com,疑似人頭特店,高,已移送偵辦,黃郁涵,第三方支付B,61,3,是,否,,,,,,,81,模擬資料
R00167,2025-04-02 14:37:00,樂購數位有限公司,25001639,新北市板橋區中山路一段168號12樓,02-2955-7711,2024-04-25,https://www.bestdeal-tw-4.com,疑似假投資平台收款,中,要求補充資料,蔡承翰,第三方支付C,342,3,是,否,,,G02,ADDR-G02,TEL-G02,WEB-G02,65,模擬資料
R00169,2025-04-03 08:22:00,豐盛數位有限公司,25004917,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-11-07,https://www.easybonus-market-2.com,疑似假交易真套現,中,調查中,王怡婷,第三方支付A,147,3,是,否,,,G04,ADDR-G04,TEL-G04,WEB-G04,63,模擬資料
R00168,2025-04-03 15:01:00,富邦達數位有限公司,25004172,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-09-11,https://www.easybonus-market-1.com,疑似洗錢,低,尚未移送,蔡承翰,第三方支付C,204,3,是,否,,,G04,ADDR-G04,TEL-G04,WEB-G04,67,模擬資料
R00170,2025-04-06 14:56:00,昇泰商行,25006109,台北市大安區復興南路一段120號2樓,04-5995-3436,2024-10-17,https://www.shop1041-tw.com,特店網站內容與申請業態不符,中,結案未確認違法,蔡承翰,第三方支付C,171,2,是,否,,,,,,,38,模擬資料
R00171,2025-04-06 18:59:00,嘉禾電子商務有限公司,25000447,高雄市苓雅區中正二路88號6樓,07-223-5566,2024-03-10,https://www.easybonus-market-4.com,異常大量交易,低,尚未移送,蔡承翰,第三方支付C,392,3,是,否,,,G04,ADDR-G04,TEL-G04,WEB-G04,45,模擬資料
R00172,2025-04-07 18:43:00,嘉禾數位有限公司,25005066,桃園市桃園區中正路520號10樓,03-335-8811,2024-07-30,https://www.superdeal-tw-3.com,特店網站內容與申請業態不符,中,尚未移送,蔡承翰,第三方支付C,251,2,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,50,模擬資料
R00173,2025-04-08 15:43:00,新富商行,25012218,新北市新莊區中正路116號12樓,07-6421-2098,2025-03-08,https://www.shop1082-tw.com,多筆交易來源高度集中,中,要求補充資料,陳冠宇,第三方支付A,31,3,是,否,,,,,,,52,模擬資料
R00174,2025-04-09 10:52:00,易享科技有限公司,25010430,台北市信義區松仁路87號12樓,05-6921-3297,2024-09-01,https://www.shop1070-tw.com,特店網站內容與申請業態不符,中,尚未移送,林志豪,第三方支付A,220,3,是,否,,,,,,,28,模擬資料
R00176,2025-04-10 20:04:00,聯盛國際有限公司,25008046,高雄市三民區建國二路283號10樓,06-4910-2479,2024-11-28,https://www.shop1054-tw.com,短期交易量異常成長,中,尚未移送,王怡婷,第三方支付A,133,3,是,否,,,,,,,67,模擬資料
R00175,2025-04-10 20:42:00,捷利數位有限公司,25008940,台北市大安區復興南路一段273號5樓,07-9651-9067,2024-07-14,https://www.shop1060-tw.com,疑似串接博弈網站,中,結案未確認違法,周柏廷,第三方支付C,270,3,是,否,,,,,,,39,模擬資料
R00177,2025-04-11 18:55:00,鑫盛科技有限公司,25011771,桃園市桃園區中正路226號8樓,02-3851-4817,2024-12-14,https://www.shop1079-tw.com,特店網站內容與申請業態不符,低,已通報執法機構,黃郁涵,第三方支付B,118,3,是,否,,,,,,,37,模擬資料
R00178,2025-04-12 13:20:00,易享科技有限公司,25010430,台北市信義區松仁路87號12樓,05-6921-3297,2024-09-01,https://www.shop1070-tw.com,疑似人頭特店,低,結案未確認違法,張家維,第三方支付B,223,3,是,否,,,,,,,47,模擬資料
R00179,2025-04-13 09:41:00,昇泰國際有限公司,25001341,桃園市桃園區中正路520號10樓,03-335-8811,2024-10-02,https://www.superdeal-tw-2.com,疑似假交易真套現,中,已通報執法機構,吳佩珊,第三方支付C,193,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,70,模擬資料
R00180,2025-04-14 15:10:00,宏富商行,25003725,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-07,https://www.fastmall-pay-2.com,大量退款與取消交易,低,尚未移送,李佳穎,第三方支付B,189,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,54,模擬資料
R00181,2025-04-14 16:12:00,樂購科技有限公司,25003576,桃園市桃園區中正路520號10樓,03-335-8811,2024-04-29,https://www.superdeal-tw-1.com,疑似串接博弈網站,中,要求補充資料,張家維,第三方支付B,350,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,67,模擬資料
R00182,2025-04-15 19:28:00,捷利數位有限公司,25005662,台北市大安區復興南路一段138號9樓,04-4876-6568,2024-05-03,https://www.shop1038-tw.com,短期交易量異常成長,低,結案未確認違法,吳佩珊,第三方支付C,347,2,是,否,,,,,,,31,模擬資料
R00183,2025-04-17 08:02:00,聯盛商行,25006705,台北市信義區松仁路196號12樓,03-7156-3002,2024-09-21,https://www.shop1045-tw.com,多筆交易來源高度集中,中,調查中,蔡承翰,第三方支付C,208,3,是,否,,,,,,,59,模擬資料
R00185,2025-04-18 08:18:00,迅達電子商務有限公司,25009834,台北市大安區復興南路一段212號2樓,06-8205-7563,2024-03-10,https://www.shop1066-tw.com,疑似人頭特店,低,已通報執法機構,吳佩珊,第三方支付C,404,3,是,否,,,,,,,46,模擬資料
R00184,2025-04-18 09:16:00,飛躍國際有限公司,25016986,桃園市桃園區中正路48號15樓,05-5792-7719,2025-03-16,https://www.shop1114-tw.com,疑似假交易真套現,中,尚未移送,周柏廷,第三方支付C,33,2,是,否,,,,,,,67,模擬資料
R00186,2025-04-18 13:34:00,樂購國際有限公司,25015347,高雄市三民區建國二路142號6樓,06-7497-4882,2025-03-12,https://www.shop1103-tw.com,疑似串接博弈網站,高,調查中,蔡承翰,第三方支付C,37,3,是,否,,,,,,,75,模擬資料
R00187,2025-04-20 12:24:00,百匯行銷有限公司,25016092,台南市中西區民生路二段62號9樓,06-4825-7451,2025-04-06,https://www.shop1108-tw.com,疑似假投資平台收款,高,已通報執法機構,周柏廷,第三方支付C,14,3,是,否,,,,,,,64,模擬資料
R00188,2025-04-21 17:08:00,樂購國際有限公司,25015347,高雄市三民區建國二路142號6樓,06-7497-4882,2025-03-12,https://www.shop1103-tw.com,疑似假交易真套現,中,已通報執法機構,王怡婷,第三方支付A,40,3,是,否,,,,,,,69,模擬資料
R00189,2025-04-22 14:52:00,萬禾科技有限公司,25012814,台北市信義區松仁路279號10樓,06-8490-1963,2025-03-21,https://www.shop1086-tw.com,異常大量交易,中,已通報執法機構,吳佩珊,第三方支付C,32,3,是,否,,,,,,,62,模擬資料
R00190,2025-04-22 15:54:00,宏富商行,25003725,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-07,https://www.fastmall-pay-2.com,疑似洗錢,中,調查中,周柏廷,第三方支付C,197,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,68,模擬資料
R00191,2025-04-23 08:48:00,新富行銷有限公司,25017582,台南市中西區民生路二段50號7樓,06-8172-9499,2025-01-02,https://www.shop1118-tw.com,疑似假交易真套現,中,已通報執法機構,周柏廷,第三方支付C,111,3,是,否,,,,,,,50,模擬資料
R00192,2025-04-24 22:59:00,聯盛行銷有限公司,25017284,台中市北屯區崇德路二段207號2樓,02-7150-8007,2025-02-25,https://www.shop1116-tw.com,疑似假投資平台收款,高,要求補充資料,蔡承翰,第三方支付C,58,3,是,否,,,,,,,74,模擬資料
R00193,2025-04-25 14:52:00,領航電子商務有限公司,25008344,台北市大安區復興南路一段254號14樓,05-9224-3857,2024-03-11,https://www.shop1056-tw.com,疑似串接博弈網站,低,尚未移送,張家維,第三方支付B,410,3,是,否,,,,,,,45,模擬資料
R00194,2025-04-26 08:07:00,百匯數位有限公司,25002533,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-02-19,https://www.goldtrade-shop-2.com,疑似洗錢,高,要求補充資料,周柏廷,第三方支付C,432,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,72,模擬資料
